"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"3306","VELATEL GLOBAL COMMUNICATION","4812","2011-10-25","","Pvd wireless broadband svcs","United States","VELATEL GLOBAL COMMUNICATIONS INC/NEXT GENERATION SPECIAL NETWORK~COMMUNICATION TECH CO LTD-STRATEGIC ALLIANCE","4813","China","Completed/Signed","Strategic Alliance",NA,2357242045
"3350","SOFTBANK ","4812","2011-10-30","","Pvd wireless telecommun svcs","Japan","SOFTBANK CORP/BHARTI AIRTEL LTD-JOINT VENTURE","4899","India","Completed/Signed","Joint Venture",50,2586320045
"3359","SAMSUNG ELECTRONIC ","3663","2011-10-31","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","JUNIPER NETWORKS INC/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","3577","Supranational","Completed/Signed","Strategic Alliance",NA,2365419045
"3501","IBM ","3571","2011-11-11","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/SUNING APPLIANCE CO LTD-STRATEGIC~ALLIANCE","7375","United States~China","Completed/Signed","Strategic Alliance",NA,2361784045
"3532","SIEMENS","3663","2011-11-14","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/THE EXPORT-IMPORT BANK OF CHINA/BAOSTEEL GROUP CORP/JPMORGAN~CHASE & CO-JOINT VENTURE","6411","China","Completed/Signed","Joint Venture",25,2362124045
"3539","ZTE HELLAS","4812","2011-11-14","","Pvd wireless telecom svcs","Greece","MLS MULTIMEDIA SA/ZTE HELLAS-STRATEGIC ALLIANCE","4812","Greece","Completed/Signed","Strategic Alliance",NA,2362209045
"3613","TELIASONERA","4812","2011-11-21","","Provide wireless telecommun svcs","Sweden","TELIA SONERA AB/TELE2 AB/TELENOR ASA/3 SWEDEN-JOINT VENTURE","4812","Sweden","Completed/Signed","Joint Venture",25,2378225045
"3614","TELE2","4812","2011-11-21","","Wireless Telecommunications Carriers (Except Satellite)","Sweden","TELIA SONERA AB/TELE2 AB/TELENOR ASA/3 SWEDEN-JOINT VENTURE","4812","Sweden","Completed/Signed","Joint Venture",25,2378225045
"3615","TELENOR ASA","4812","2011-11-21","","Provide mobile communication services","Norway","TELIA SONERA AB/TELE2 AB/TELENOR ASA/3 SWEDEN-JOINT VENTURE","4812","Sweden","Completed/Signed","Joint Venture",25,2378225045
"3616","TELECOM3 SVERIGE","4812","2011-11-21","","Pvd telecommunications svcs","Sweden","TELIA SONERA AB/TELE2 AB/TELENOR ASA/3 SWEDEN-JOINT VENTURE","4812","Sweden","Completed/Signed","Joint Venture",25,2378225045
"3704","SIEMENS","3663","2011-12-01","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/SILOVYE MASHINY - ZTL LMZ ELEKTROSILA ENERGOMASHEKSPORT~OAO-JOINT VENTURE","8741","Germany","Completed/Signed","Joint Venture",NA,3355132045
"3711","MTN GROUP","4812","2011-12-01","","Wireless Telecommunications Carriers (Except Satellite)","South Africa","AMERICAN TOWER CORP/MTN GROUP LTD-JOINT VENTURE","4812","Uganda","Completed/Signed","Joint Venture",49,2369673045
"3809","STC PARTNERS SDN BHD","4812","2011-12-09","","Mnfr comm equipment","Malaysia","BRIGHTPOINT INTERNATIONAL (MALAYSIA) SDN BHD/STC PARTNERS SDN BHD-JOINT~VENTURE","5065","Malaysia","Completed/Signed","Joint Venture",40,2370033045
"3886","MERIDIAN MOBILES PVT","4812","2011-12-14","","Pvd telecommunications svcs","India","SAR GROUP/MERIDIAN MOBILES PVT LTD-JOINT VENTURE","4899","India","Completed/Signed","Joint Venture",NA,2510628045
"4076","HANDHELD GROUP","3571","2012-01-01","","Mnfr handheld mobile computers","Sweden","HANDHELD GROUP/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE","5099","Sweden","Completed/Signed","Strategic Alliance",NA,3350646045
"4195","TRUNKBOW INTL HLDGS","4812","2012-01-10","","Pvd wireless telecom svcs","China","TRUNKBOW INTERNATIONAL HOLDINGS LTD/CHINA UNIONPAY CO LTD-STRATEGIC~ALLIANCE","7371","China","Completed/Signed","Strategic Alliance",NA,2407916045
"4221","QUANTUM TELECOM","4812","2012-01-12","","Pvd network,bus support svcs","United States","QUANTUM TELECOM INC/MER TELEMANAGEMENT SOLUTIONS LTD-STRATEGIC ALLIANCE","4813","United States","Completed/Signed","Strategic Alliance",NA,2402719045
"4280","LIGHTSQUARED","4812","2012-01-17","","Provide wireless telecom svcs","United States","LIGHTSQUARED LP/HOMETOWN TELECOM-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2380372045
"4521","VIRGIN MOBILE LATIN AMERICA","4812","2012-02-03","","Wireless Telecommunications Carriers (Except Satellite)","United States","CINE COLOMBIA SA/VIRGIN MOBILE LATIN AMERICA INC-STRATEGIC ALLIANCE","4812","Colombia","Completed/Signed","Strategic Alliance",NA,2433254045
"4623","VIRTUALTONE","4812","2012-02-13","","Pvd telecommunications svcs","United States","VIRTUALTONE/A PC GEEK-STRATEGIC ALLIANCE","7376","United States","Completed/Signed","Strategic Alliance",NA,2388408045
"4724","FUJITSU FRONTECH","3571","2012-02-21","","Mnfr,wholesale mini computers","Japan","CROSSROADS SYSTEMS INC/FUJITSU FRONTECH LTD-STRATEGIC ALLIANCE","5112","","Completed/Signed","Strategic Alliance",NA,2426773045
"4759","OMAN TELECOMMUNICATION ","4812","2012-02-22","","Pvd wireless commun services","Oman","OMAN TELECOMMUNICATIONS CO/4TRUST LLC-JOINT VENTURE","7375","Oman","Completed/Signed","Joint Venture",60,2390893045
"4760","4TRUST","4812","2012-02-22","","Pvd telecommunications svcs","Oman","OMAN TELECOMMUNICATIONS CO/4TRUST LLC-JOINT VENTURE","7375","Oman","Completed/Signed","Joint Venture",40,2390893045
"4782","TRANSATEL","4812","2012-02-23","","Pvd cellular telecommun svcs","France","TRANSATEL SA/NEC CORP-STRATGEIC ALLIANCE","4812","","Completed/Signed","Strategic Alliance",NA,2419623045
"4832","TELIT COMMUNICATION","4812","2012-02-28","","Wireless Telecommunications Carriers (Except Satellite)","United Kingdom","TELIT COMMUNICATIONS PLC/TELEFONICA SERVICIOS DIGITALES SAC-STRATEGIC~ALLIANCE","4812","","Completed/Signed","Strategic Alliance",NA,2411838045
"4849","VIZZ MOBILE","4812","2012-02-29","","Pvd telecommunications svcs","United Kingdom","ROSHAN CONNECTION/VIZZ MOBILE-STRATEGIC ALLIANCE","4813","United Kingdom","Completed/Signed","Strategic Alliance",NA,2394205045
"4897","VIRTUALTONE","4812","2012-03-05","","Pvd telecommunications svcs","United States","VIRTUALTONE/I-TECH TECHNOLOGY CONSULTING-STRATEGIC ALLIANCE","7376","United States","Completed/Signed","Strategic Alliance",NA,2463345045
"4908","HAYAT COMMUNICATIONKSCP","4812","2012-03-05","","Provide telecommunications services","Kuwait","HAYAT COMMUNICATIONS CO KSCC/UNDISCLOSED JOINT VENTURE PARTNER-JOINT~VENTURE","4812","Egypt","Completed/Signed","Joint Venture",NA,2394598045
"5077","VIDTEL","4812","2012-03-19","","Pvd video conferencing svcs","United States","VADDIO LLC/VIDTEL INC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2398076045
"5094","GSM ASSOCIATION","4812","2012-03-20","","Pvd telecommunications svcs","United Kingdom","GSMA/WIRELESS BROADBAND ALLIANCE (WMA)-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,2467484045
"5101","LEADTEK RESEARCH","3663","2012-03-20","","Mnfr commun equip","Taiwan","LEONOVUS INC/LEADTEK RESEARCH INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2398480045
"5108","VANGARD VOICE SYSTEM","4812","2012-03-20","","Pvd telecommunications svcs","United States","VANGARD VOICE SYSTEMS/BELLHAWK SYSTEMS CORPORATION-STARTEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2467183045
"5140","PONTO FRIO","5731","2012-03-22","","Ret electn equip","Brazil","PAYPAL INC/PONTO FRIO SA-STRATEGIC ALLIANCE","5961","Brazil","Completed/Signed","Strategic Alliance",NA,2466376045
"5268","IBM ","3571","2012-03-30","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES {IBM}/RICE UNIVERSITY-STRATEGIC ALLIANCE","7376","United States","Completed/Signed","Strategic Alliance",NA,2425847045
"5370","MMD (MULTIMEDIA DISPLAYS)","3663","2012-04-05","","Own,op LCD displays","Taiwan","DIGITALOPTICS CORP/MMD (MULTIMEDIA DISPLAYS)-STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2466862045
"5478","HITACHI EUROPE","3571","2012-04-12","","Electronic Computer Manufacturing","United Kingdom","HITACHI EUROPE LTD/M2SYS TECHNOLOGY-STRATEGIC ALLIANCE","5049","United States","Completed/Signed","Strategic Alliance",NA,2405463045
"5488","DOLBY LABORATORY","3663","2012-04-13","","Mnfr audio processing system","United States","LOUDEYE CORP/DOLBY LABORATORIES INC-STRATEGIC ALLIANCE","3679","Supranational","Completed/Signed","Strategic Alliance",NA,2465976045
"5566","NOKIA SIEMENS NETWORKS","4812","2012-04-19","","Pvd wireless telecommun svcs","Finland","NOKIA SIEMENS NETWORKS OY/CHINA MOBILE GROUP GUANGDONG CO LTD-STRATEGIC~ALLIANCE","8741","China","Completed/Signed","Strategic Alliance",NA,2407483045
"5567","GUANGDONG MCC","4812","2012-04-19","","Pvd telecommunications svcs","China","NOKIA SIEMENS NETWORKS OY/CHINA MOBILE GROUP GUANGDONG CO LTD-STRATEGIC~ALLIANCE","8741","China","Completed/Signed","Strategic Alliance",NA,2407483045
"5602","DEUTSCHE TELEKOM","4812","2012-04-23","","Pvd telecommunications svcs","Germany","DEUTSCHE TELEKOM AG/LOOKOUT INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2408173045
"5608","LEAP WIRELESS INTL","4812","2012-04-23","","Pvd wireless telecommun svcs","United States","LEAP WIRELESS INTERNATIONAL INC/T-MOBILE USA INC/COOK INLET/VS GSM VII PCS~LLC/SAVARY ISLAND WIRELESS LLC-JOINT VENTURE","4813","United States","Completed/Signed","Joint Venture",25,2467967045
"5609","T-MOBILE USA","4812","2012-04-23","","Pvd wireless telecommun svcs","United States","LEAP WIRELESS INTERNATIONAL INC/T-MOBILE USA INC/COOK INLET/VS GSM VII PCS~LLC/SAVARY ISLAND WIRELESS LLC-JOINT VENTURE","4813","United States","Completed/Signed","Joint Venture",25,2467967045
"5611","SAVARY ISLAND WIRELESS","4812","2012-04-23","","Pvd wireless telecommun svcs","United States","LEAP WIRELESS INTERNATIONAL INC/T-MOBILE USA INC/COOK INLET/VS GSM VII PCS~LLC/SAVARY ISLAND WIRELESS LLC-JOINT VENTURE","4813","United States","Completed/Signed","Joint Venture",25,2467967045
"5668","SAMSUNG ELECTRONIC ","3663","2012-04-26","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","EASTMAN KODAK CO/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","5734","Supranational","Completed/Signed","Strategic Alliance",NA,2412452045
"5779","VQ COMMUNICATION","4812","2012-05-03","","Mnfr service delivery software","United Kingdom","VIDEO GUIDANCE/VQ COMMUNICATIONS LTD-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2412077045
